Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-10-1,12.4,22.1,0,7.4,10.4,,,,19.5,40,3,WNW,35,1005,20.2,34,3,W,39,1005.5
2016-10-2,12.5,24.7,0,8,11.1,NE,41,16:53,18.4,44,0,NW,7,1012.9,22.7,45,0,ENE,20,1008.3
2016-10-3,18.4,25.6,0,9,8.3,WSW,72,16:14,21.5,41,7,NNE,15,999.4,22.9,14,7,WNW,31,997.8
2016-10-4,12.7,23.4,0,10.2,11.1,W,70,20:28,17.5,34,1,NW,17,1007.8,23,25,1,W,43,1003.7
2016-10-5,11.7,23.7,0,11,11,SW,57,02:54,14.7,34,0,W,30,1016.4,22.9,16,1,WSW,26,1013.2
2016-10-6,13,27.8,0,7.6,11.1,WSW,48,13:32,19.9,34,4,W,7,1019.1,27.2,20,8,WSW,30,1017
2016-10-7,16,31,0,8.6,9.3,WNW,37,12:15,22.5,40,7,W,9,1021,30.8,16,5,W,22,1015.6
2016-10-8,20.1,22.2,0.2,10,7.4,SSE,54,12:00,21,63,6,S,28,1016.3,20.1,50,5,SSE,30,1017.6
2016-10-9,13.8,25.5,0,7.4,8.4,NE,52,18:30,17.5,51,7,W,11,1022.9,20.3,40,7,NE,24,1018.1
2016-10-10,16.8,33.6,0,8.4,6.6,,,,25.3,37,6,NE,9,1007.7,31.8,24,7,WSW,28,1004.1
2016-10-11,12.3,21.3,3.8,10.2,11.4,WSW,61,00:02,14.9,33,1,WSW,35,1013.2,20.1,26,3,SE,9,1012.9
2016-10-12,10.7,23.6,0,6.6,9.3,WSW,39,20:25,14.3,45,1,W,26,1016.5,20.7,32,5,E,24,1012.5
2016-10-13,11.8,18.3,4.4,7.4,7.9,SSW,57,01:12,15.9,56,2,SSW,26,1021.2,15.6,57,7,S,24,1022.4
2016-10-14,9,21.3,0.2,8.2,11.6,W,30,02:20,15.1,50,1,WNW,17,1025.9,19.4,37,1,E,19,1023.2
2016-10-15,11.1,23.9,0,5.6,12.2,NNE,50,17:30,15.9,57,0,W,11,1023.1,23,36,0,NE,26,1017.5
2016-10-16,15.9,29,0,10,11,NNE,56,14:49,23.1,31,0,N,22,1014.9,25.4,37,1,NE,28,1008.7
2016-10-17,21.7,22.4,0,11.8,2.4,,,,22.4,43,7,WNW,28,1005.8,14.5,78,7,NNW,15,1008.3
2016-10-18,11.5,25.8,3,3,12.2,W,48,13:09,18.3,39,1,NNW,19,1014.5,25.5,23,3,WNW,26,1010.8
2016-10-19,16.2,24.5,0.2,11,11.1,W,50,09:58,19.1,30,3,WSW,24,1017.9,22.9,20,2,NW,6,1017
2016-10-20,16.4,21.6,0,8,10.3,NNE,44,16:24,19,47,6,ENE,19,1024.4,20.4,47,5,NE,26,1021.4
2016-10-21,15.3,25.2,0,7.4,8.4,NNE,46,14:45,21.5,55,5,NNW,20,1018.9,23.3,55,7,NE,26,1012.8
2016-10-22,16.1,18,11.8,8.4,4.1,WSW,57,17:49,17,84,7,SE,15,1010,16.4,69,7,S,22,1010.1
2016-10-23,10.2,19.8,0.6,4.8,10.4,SSW,59,09:36,13.1,53,7,W,22,1018.3,17.5,42,2,S,28,1017.7
2016-10-24,10.2,21.5,0.8,5.8,12.4,ESE,37,13:22,15,45,1,W,15,1019.6,19.8,33,1,SSE,22,1016.7
2016-10-25,11.4,23.3,0,6.8,12.3,ENE,37,14:39,17.6,56,7,W,13,1018.9,22.8,46,1,NE,22,1014.4
2016-10-26,14.3,27,0,7.8,8.5,ENE,26,14:27,18.7,52,7,W,11,1016.6,25.8,34,7,E,20,1013
2016-10-27,18.4,21.7,0,8,6.2,SE,41,07:17,20.8,65,4,SSE,20,1015.9,19.9,63,7,SSE,26,1015.7
2016-10-28,14.7,19.6,1.4,4.6,0.5,SSE,30,23:03,15.4,73,8,W,19,1020.6,19.1,57,8,ESE,7,1018.5
2016-10-29,15.3,24.3,3.2,1.6,7.9,NE,41,22:59,18.3,86,6,W,13,1020.1,22,66,5,NE,20,1017.7
2016-10-30,18.2,25.5,0.2,7,4.6,NW,50,22:57,23,65,7,NE,9,1013.7,25.3,61,8,ENE,11,1006.5
2016-10-31,16.1,23.3,1.6,6.6,12.9,NNW,52,23:01,18.3,24,1,SSW,28,1011,21.7,28,1,E,20,1010.8
